Species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Guttera_pucherani,NA,4.5,NA,1149,NA,NA,NA,NA,NA,46.45,23,NA,NA,NA,NA,NA,1149.5,1315,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA
Numida_meleagris,NA,8.75,1,1375,NA,NA,NA,24.5,NA,39.4,27.5,NA,NA,NA,NA,1578,1592.5,1299,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA
Callipepla_californica,318.734,14,1,171.5,9.6,NA,NA,6.125,NA,9.85,22.25,10,6.991666667,274,NA,166.5,185,160.5,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
Callipepla_douglasii,NA,10,NA,178,NA,NA,NA,NA,NA,8.6,22,NA,NA,NA,NA,169,175,178,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
Callipepla_gambelii,364.234,12.75,1.25,169.25,7.416666667,NA,NA,NA,NA,9.5,22,NA,7.4,365,NA,162,170,153.05,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
Callipepla_squamata,363.468,12.85,1.5,191,NA,NA,NA,NA,NA,10.3,22.25,3,NA,NA,NA,177,191,168,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA
Colinus_cristatus,NA,11.65,NA,136.5,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,131,138,NA,NA,NA,NA,20.25,NA,NA,NA,NA,NA,NA,NA
Colinus_leucopogon,NA,10.65,NA,138,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,130.5,140.5,NA,NA,NA,NA,20.625,NA,NA,NA,NA,NA,NA,NA
Colinus_nigrogularis,NA,NA,NA,136.5,NA,NA,NA,NA,NA,9.1,23.5,NA,NA,NA,NA,137,127.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colinus_virginianus,364.234,13,1.5,173.3333333,6.416666667,NA,NA,7,NA,8.9,22.75,14,6.4,365,NA,117,150,174.25,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA
Cyrtonyx_montezumae,NA,11,NA,185.55,NA,NA,NA,NA,NA,10.1,25.5,NA,NA,NA,NA,177.5,193.5,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
Cyrtonyx_ocellatus,NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylortyx_thoracicus,NA,5,NA,211.75,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,188,217.5,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA
Dendrortyx_barbatus,NA,4.25,NA,445.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
Dendrortyx_leucophrys,NA,4.75,NA,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,397,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA
Dendrortyx_macroura,NA,4,NA,422.75,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,390,433,422.75,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
Odontophorus_atrifrons,NA,NA,NA,304.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_balliviani,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_capueira,NA,5,NA,426.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,457,NA,NA,NA,NA,27.75,NA,NA,NA,NA,NA,NA,NA
Odontophorus_columbianus,NA,6,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.75,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Odontophorus_dialeucos,NA,NA,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_erythrops,NA,4,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_gujanensis,NA,4,NA,331,NA,NA,NA,NA,NA,15.4,26,NA,NA,NA,NA,298,331,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
Odontophorus_guttatus,NA,NA,NA,304,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,291,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_hyperythrus,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.75,351.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_leucolaemus,NA,5,NA,260.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,NA,NA,NA,23.75,NA,NA,NA,NA,NA,NA,NA
Odontophorus_melanonotus,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_melanotis,NA,4,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
Odontophorus_speciosus,NA,NA,NA,324.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_stellatus,NA,NA,NA,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_strophium,NA,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreortyx_pictus,363.468,10,1,233,NA,NA,NA,NA,NA,11.555,24.5,14,NA,NA,1,231.85,239.85,233,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
Philortyx_fasciatus,NA,5.75,NA,130.25,NA,NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,126,130,130.25,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA
Ptilopachus_nahani,NA,4,NA,294.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptilopachus_petrosus,NA,5,NA,191.25,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,190,192.75,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA
Rhynchortyx_cinctus,NA,NA,NA,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afropavo_congensis,NA,2.7,NA,1149.25,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,1144.25,1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_barbara,363.468,12,1.25,418.5,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,376,461,438,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
Alectoris_chukar,363.468,11.25,1.499635999,535.5,6.2,NA,NA,13.5,NA,20.9,23.5,8,6.2,NA,NA,501,570.5,516.5,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
Alectoris_graeca,363.468,11,1.499779347,597.5,NA,NA,NA,NA,NA,19.7,25,8,NA,NA,NA,530,650,575,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA
Alectoris_magna,363.468,11,1.499779347,577.5,NA,NA,NA,NA,NA,19.7,25,8,NA,NA,NA,530,600,575,NA,NA,NA,35.25,NA,NA,NA,NA,NA,NA,NA
Alectoris_melanocephala,NA,6.65,NA,724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,724,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
Alectoris_philbyi,NA,6.3,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_rufa,363.468,12,1.499902076,516,6.25,NA,NA,13.5,NA,20.1,23.5,NA,6.225,NA,NA,466.5,516,439,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA
Ammoperdix_griseogularis,NA,10,1.5,194.35,NA,NA,NA,NA,NA,12.3,21,NA,NA,NA,NA,186,205,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
Ammoperdix_heyi,NA,8,NA,185.5,NA,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
Anurophasis_monorthonyx,NA,NA,NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_ardens,NA,2.4,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_atrogularis,NA,4.5,NA,256,NA,NA,NA,NA,NA,16.3,NA,NA,NA,NA,NA,238,256,256,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
Arborophila_brunneopectus,NA,NA,NA,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_cambodiana,NA,NA,NA,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_campbelli,NA,2.8,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_charltonii,NA,NA,NA,270,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA,250,290,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_chloropus,NA,3,NA,270,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA,250,290,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_crudigularis,NA,6.95,NA,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,311,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA
Arborophila_davidi,NA,NA,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_diversa,NA,NA,NA,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_gingica,NA,5.95,NA,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Arborophila_hyperythra,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_javanica,NA,4,NA,271.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_mandellii,NA,4,NA,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_orientalis,NA,2.8,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rolli,NA,2.8,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rubrirostris,NA,NA,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rufipectus,NA,5.75,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,440,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Arborophila_rufogularis,NA,4.5,NA,323.5,8.5,NA,NA,NA,NA,10.08,20.5,NA,8.5,NA,NA,167.4,377.5,303,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA
Arborophila_sumatrana,NA,2.8,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_torqueola,NA,4,NA,350.5,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,323.5,377.5,305,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Argusianus_argus,NA,2,NA,2280.5,NA,NA,NA,NA,NA,77,24.5,NA,NA,NA,NA,1636,2371.75,2200,NA,NA,NA,74.5,NA,NA,NA,NA,NA,NA,NA
Bambusicola_fytchii,NA,5,NA,340.25,NA,NA,NA,NA,NA,19,18.5,NA,NA,NA,NA,319,341,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA
Bambusicola_thoracicus,NA,5,1,271,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,271,269.5,271,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA
Bonasa_umbellus,332.601,11,1,532,11,NA,NA,12,NA,18,23.75,NA,8.5,120,NA,498,585,566,NA,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA
Caloperdix_oculeus,NA,8.9,NA,190.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catreus_wallichii,NA,10.5,1,1446.5,NA,NA,NA,NA,NA,57.7,26,NA,NA,NA,NA,1305,1587.75,1305,NA,NA,NA,68.5,NA,NA,NA,NA,NA,NA,NA
Centrocercus_minimus,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrocercus_urophasianus,455.101,7.35,1,1930,7,NA,NA,30.5,NA,44.5,26,14,7,365,NA,1700,3042.5,1815,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
Chrysolophus_amherstiae,363.468,7.75,1,714,19.6,NA,NA,15,NA,31,24,NA,19.6,NA,NA,714,709.25,714,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA
Chrysolophus_pictus,364.234,8.75,1,633.75,13.4,NA,NA,14.1,NA,26.7,22.5,NA,13.4,365,NA,528.75,875,607.5,NA,NA,NA,65.5,NA,NA,NA,NA,NA,NA,NA
Coturnix_coromandelica,NA,5,NA,74.5,NA,NA,NA,NA,NA,6.6,18.5,NA,NA,NA,NA,NA,NA,74.5,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
Coturnix_coturnix,364.234,10.30487805,1.25,98.75,14.58333333,NA,NA,5.5,NA,8.2,17.25,NA,11,365,NA,103,94,100,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
Coturnix_delegorguei,NA,5.7,1,79,NA,NA,NA,NA,NA,7.5,18,NA,NA,NA,NA,79.25,72.4,78.5,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
Coturnix_japonica,213.234,10.2,1.25,96.6,14.58333333,NA,NA,8.905,NA,8.2,17,NA,6.791666667,52,NA,102.25,93.25,100,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA
Coturnix_novaezelandiae,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coturnix_pectoralis,NA,7.55,1,100.975,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,106,97.9,106,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
Coturnix_ypsilophora,NA,8.350892857,1.499435028,107.5,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,107.5,108.5,103,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA
Crossoptilon_auritum,NA,8,1,1785,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,1665,1905,1600,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA
Crossoptilon_crossoptilon,NA,6,2,1962.5,NA,NA,NA,NA,NA,56.05,24,NA,NA,NA,NA,1725,2550,1675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossoptilon_harmani,NA,6,2,1962.5,NA,NA,NA,NA,NA,56.05,24,NA,NA,NA,NA,1725,2550,1675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossoptilon_mantchuricum,NA,7.5,NA,1962.5,NA,NA,NA,NA,NA,51.6,26.5,NA,NA,NA,NA,1806.25,2062.5,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA
Dendragapus_fuliginosus,455.101,7.1,1,1059,14,NA,NA,22.6,NA,32.5,25.25,10,12.5,365,NA,891,1212,1131,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Dendragapus_obscurus,455.101,7.1,1,1059,14,NA,NA,22.6,NA,32.5,25.25,10,12.5,365,NA,898,1203,1131,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Dendroperdix_sephaena,NA,6,NA,354.75,NA,NA,NA,NA,NA,20.25,19,NA,NA,NA,NA,315,368,289,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
Excalfactoria_adansonii,NA,5.6,NA,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.65,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA
Excalfactoria_chinensis,NA,6,1,41,NA,NA,NA,NA,NA,4.8,16.5,NA,NA,NA,NA,41,41.75,34.8,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA
Falcipennis_canadensis,365,6,1,456,13,NA,NA,15,NA,22.65,21.75,NA,13,365,NA,448.75,492,476,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Falcipennis_falcipennis,NA,7.85,1,687.5,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,695,680,647.5,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Francolinus_francolinus,NA,7.5,2,453,7,NA,NA,12.5,NA,23.5,19,NA,7,NA,NA,424,476,453,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,365.25
Francolinus_gularis,NA,5,NA,510,NA,NA,NA,NA,NA,18.7,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA
Francolinus_pictus,NA,5,NA,291,NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA
Francolinus_pintadeanus,NA,5,NA,354.25,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,310,367.5,341,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA
Francolinus_pondicerianus,NA,7.5,2.5,274,8,NA,NA,NA,NA,12.35,18,NA,8,NA,NA,242,286,228,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA
Galloperdix_bicalcarata,NA,2,NA,319,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,256,340,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
Galloperdix_lunulata,NA,3.5,NA,262.75,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,240.75,270,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
Galloperdix_spadicea,NA,4,NA,369,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,369,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA
Gallus_gallus,NA,6,1,912.5,30,NA,NA,25,NA,49.3,20.5,NA,30,NA,NA,643.5,910.5,2300,NA,NA,NA,43.5,NA,NA,NA,NA,NA,NA,152.2
Gallus_lafayettii,NA,2.5,1,766.5,NA,NA,NA,NA,NA,30.35,20.5,NA,NA,NA,NA,567.75,965,567.5,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
Gallus_sonneratii,NA,4.5,1,855.5,NA,NA,NA,NA,NA,33.45,20.5,NA,NA,NA,NA,747.75,963,747.5,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
Gallus_varius,NA,3.5,1,781.25,NA,NA,NA,NA,NA,29.2,NA,NA,NA,NA,NA,767.5,1061,767.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haematortyx_sanguiniceps,NA,9,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
Ithaginis_cruentus,NA,6.75,1,525,NA,NA,NA,NA,NA,29.1,29,NA,NA,NA,NA,515,542.5,515,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
Lagopus_lagopus,364.234,8.95,1,595,9,NA,NA,14.91,NA,21.75,21.55,12,8.583166667,365,NA,552,621,567,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Lagopus_leucura,545.202,6,1,351,15,NA,NA,12.9,NA,20,22.75,NA,15,365,NA,340.5,358,351,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA
Lagopus_muta,363.468,7,1,521,6.083333333,NA,NA,12.5,NA,20,21.5,NA,6.083333333,NA,NA,510.5,520,449,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA
Lerwa_lerwa,NA,3.2,NA,581.5,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,560.25,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
Lophophorus_impejanus,NA,5.5,1,2077.75,NA,NA,NA,NA,NA,69.2,27.5,NA,NA,NA,NA,1975,2180,1975,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA
Lophophorus_lhuysii,NA,3.9,NA,3008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3007.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophophorus_sclateri,NA,5.5,NA,2348.25,NA,NA,NA,NA,NA,70.5,NA,NA,NA,NA,NA,2196.5,2500,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_bulweri,NA,1,NA,1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_diardi,NA,5.85,NA,843.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843.75,1420,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
Lophura_edwardsi,NA,5.3,NA,1082.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,1082.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_erythrophthalma,NA,4.6,NA,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,837,1043,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
Lophura_hoogerwerfi,NA,2,NA,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_ignita,NA,5.85,NA,2155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475,2155,NA,NA,NA,NA,56.5,NA,NA,NA,NA,NA,NA,NA
Lophura_inornata,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_leucomelanos,NA,7.15,1,1180,NA,NA,NA,22,NA,41.35,25,NA,NA,NA,NA,794,1025,1000,NA,NA,NA,59.25,NA,NA,NA,NA,NA,NA,NA
Lophura_nycthemera,NA,6.75,1,1250,NA,NA,NA,22,NA,43.4,25.5,NA,NA,NA,NA,1240,1750,1130,NA,NA,NA,63.5,NA,NA,NA,NA,NA,NA,NA
Lophura_swinhoii,NA,5.85,NA,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA
Lyrurus_mlokosiewiczi,545.202,6,1,815.5,NA,NA,NA,NA,NA,32.5,22.5,NA,NA,NA,NA,766,865,766,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
Lyrurus_tetrix,455.101,8,1,1084.75,12.25,NA,NA,25,NA,35.5,26,NA,12.225,365,NA,927.5,1245.5,988,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
Margaroperdix_madagarensis,NA,NA,NA,232.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melanoperdix_niger,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meleagris_gallopavo,304,11,1,5811,13,NA,NA,42.25,NA,78.8,28,14,12.75,365,NA,4300,7400,4222,NA,NA,NA,85.5,NA,NA,NA,NA,NA,NA,NA
Meleagris_ocellata,NA,12,NA,5525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2700,4500,5525,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
Ophrysia_superciliosa,NA,NA,NA,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pavo_cristatus,730,5,1,4093.75,25,NA,NA,120,NA,100.75,28,14,23.2,730.25,1,3622,4698,3937.5,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA
Pavo_muticus,1453.872,4.75,NA,4256.25,8,NA,NA,NA,NA,112,27,14,8,NA,NA,2430,4425,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA
Peliperdix_albogularis,NA,5.75,1,273.5,NA,NA,NA,NA,NA,15.05,NA,NA,NA,NA,NA,238.5,262,276,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
Peliperdix_coqui,NA,4.75,NA,261,NA,NA,NA,NA,NA,16.1,NA,NA,NA,NA,NA,238.5,262,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
