Species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Lepus_brachyurus,NA,2.13,2.5,2519.45,13,38.49,NA,NA,NA,NA,NA,NA,12.9875,NA,NA,NA,NA,NA,NA,NA,NA,49.999,NA,NA,NA,NA,NA,NA,NA
Lepus_californicus,243.427128,2.68,3.73,2317,11.80833333,43.52348,40.78424,84.34,1300,NA,NA,NA,6.8,NA,NA,NA,NA,2300,NA,NA,NA,50.5,NA,NA,14,NA,NA,NA,NA
Lepus_callotis,NA,2.34,3,2214.08,2.991666667,NA,NA,NA,NA,NA,NA,NA,2.991666667,NA,NA,NA,NA,NA,NA,NA,NA,48.899,NA,NA,NA,NA,NA,NA,NA
Lepus_capensis,200.04564,2.51,3.14,2202.555,8.9,42.60456,30.25044,116.245,929.16,NA,NA,NA,8.9,NA,0.107049966,NA,NA,NA,NA,NA,NA,55.0515,NA,NA,NA,NA,NA,NA,NA
Lepus_castroviejoi,NA,1.95,NA,2822.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.299,NA,NA,NA,NA,NA,NA,NA
Lepus_comus,NA,2.75,2,2242.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.804,NA,NA,NA,NA,NA,NA,NA
Lepus_coreanus,NA,NA,NA,2115.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.25,NA,NA,NA,NA,NA,NA,NA
Lepus_corsicanus,227.66128,2.44,3.75,3673.33,12,42,28.80492,119.67,652.495,NA,NA,NA,10.65,NA,0.107049966,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
Lepus_europaeus,227.66128,2.44,3.75,3673.33,12,42,28.80492,119.67,652.495,NA,NA,NA,10.65,NA,0.107049966,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
Lepus_flavigularis,NA,2.34,3,2608.16,2.991666667,NA,NA,181.12,NA,NA,NA,NA,2.991666667,NA,NA,NA,NA,NA,NA,NA,NA,51.938,NA,NA,17.649,NA,NA,NA,NA
Lepus_granatensis,200.04564,2.44,3.14,2323.94,8.9,42.60456,30.25044,116.245,929.16,NA,NA,NA,8.9,NA,0.107049966,NA,NA,NA,NA,NA,NA,45.9,NA,NA,NA,NA,NA,NA,NA
Lepus_habessinicus,200.04564,2.51,3.14,2047.11,8.9,42.60456,30.25044,116.245,929.16,NA,NA,NA,8.9,NA,0.107049966,NA,NA,NA,NA,NA,NA,55.0515,NA,NA,NA,NA,NA,NA,NA
Lepus_hainanus,NA,NA,NA,1889.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepus_insularis,NA,3.5,NA,NA,NA,42.6104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepus_mandshuricus,NA,2.26,2.5,2176.75,13,38.49,NA,NA,NA,NA,NA,NA,12.9875,NA,NA,NA,NA,NA,NA,NA,NA,49.999,NA,NA,NA,NA,NA,NA,NA
Lepus_microtis,NA,1.56,NA,1763.61,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
